207,-1,1,1,1,-1,-1,1,1,1
8263,1,1,1,1,-1,1,1,1,-1
373,1,1,-1,1,1,-1,-1,1,-1
45,-1,1,1,-1,1,-1,-1,1,-1
8097,1,-1,-1,-1,1,-1,1,1,-1
7309,-1,-1,-1,1,-1,1,-1,-1,1
389,-1,-1,-1,1,1,-1,1,-1,1
560,1,1,1,1,1,-1,1,-1,-1
999,1,1,-1,1,-1,-1,-1,1,-1
12,-1,-1,1,1,-1,1,1,1,-1
191,-1,1,-1,1,1,-1,1,-1,-1
389,1,1,1,1,-1,1,1,-1,-1
406,-1,1,1,1,-1,-1,-1,-1,-1
140,-1,-1,1,1,-1,-1,-1,1,1
928,1,1,-1,-1,-1,1,1,1,1
1259,1,1,1,1,-1,1,-1,1,-1
388,1,-1,1,1,-1,-1,1,1,-1
8312,1,-1,1,1,1,1,1,1,-1
27282,-1,-1,-1,-1,-1,-1,-1,-1,1
2075,-1,1,-1,-1,-1,-1,-1,-1,1
176,-1,-1,1,-1,1,-1,1,1,-1
840,-1,-1,-1,1,-1,-1,1,1,-1
7380,-1,-1,1,-1,1,1,-1,-1,1
1223,-1,1,1,-1,1,1,-1,-1,1
4035,1,-1,-1,1,-1,-1,-1,-1,1
2047,1,-1,1,1,-1,-1,-1,-1,1
817,-1,1,-1,1,1,-1,-1,-1,1
634,1,1,1,-1,-1,-1,-1,1,-1
60678,1,-1,1,1,1,1,1,-1,-1
18,-1,-1,1,1,-1,1,-1,1,-1
201,-1,1,-1,-1,1,-1,-1,1,-1
14009,-1,1,-1,-1,-1,-1,-1,1,-1
6101,-1,1,-1,1,1,1,-1,-1,1
1889,1,-1,-1,-1,1,-1,-1,-1,-1
164281,1,-1,-1,-1,-1,-1,1,-1,-1
678,-1,-1,1,-1,-1,-1,1,1,1
2352,-1,1,-1,1,-1,-1,1,1,-1
38,-1,-1,1,1,-1,1,1,1,1
300,-1,-1,1,1,-1,1,-1,-1,-1
830,-1,1,-1,1,1,1,1,1,-1
431,-1,-1,1,-1,-1,-1,1,-1,1
56,1,-1,1,-1,-1,1,-1,-1,-1
4086,-1,1,-1,1,-1,-1,-1,1,1
69,1,1,-1,-1,-1,1,-1,1,1
2596,1,-1,1,-1,-1,-1,1,1,1
200,-1,1,-1,-1,1,-1,1,1,1
109898,-1,-1,-1,-1,-1,-1,1,1,-1
377,-1,-1,1,-1,1,1,-1,1,1
30,-1,1,1,1,-1,1,1,-1,-1
4382,1,1,1,1,1,1,1,-1,-1
130,1,1,-1,1,1,-1,1,1,1
809,1,-1,1,1,-1,-1,-1,-1,-1
2739,1,-1,1,-1,1,1,-1,-1,1
